L01460431;AielodeRugat
L01460116;Alberic
L01460168;AlcanteradeXuquer
L01460240;AlfaradelaBaronia
L01460266;Alfarp
L01460272;Alfarrasi
L01460288;AlgardePalancia
L01460305;AlgimiadeAlfara
L01460403;Antella
L01460039;AtzenetadAlbaida
L01460459;Barxeta
L01460478;Belgida
L01460497;Bellus
L01460522;Benavites
L01460569;Beniatjar
L01460641;Benimuslem
L01460689;Benissoda
L01460692;Benissuera
L01460728;Bocairent
L01460752;Bufali
L01460771;Bunyol
L01460811;Canals
L01460863;Carricola
L01460898;Casinos
L01460919;CastellonetdelaConquesta
L01460961;Cerda
L01461000;Cotes
L01461154;DosAguas
L01461897;ElPalomar
L01461213;Estubeny
L01461332;Gestalgar
L01461398;Guadassuar
L01461271;LaFontdenCarros
L01461379;LaGranjadelaCostera
L01461542;LlaneradeRanes
L01461516;LlocNoudenFenollet
L01461537;LlocnoudeSantJeroni
L01461509;Llutxent
L01461496;LosadelObispo
L01461521;LlocnoudelaCorona
L05460010;MancAlbalatPolinya
L05460009;MancAltoTuria
L05460030;MancValldigna
L05460007;MancelMarquesat
L05460028;MancElTejo
L05460020;MancBunyolChiva
L05460008;MancHortaNord
L05460017;MancBaronia
L05460006;MancValldelsAlcalans
L01461607;Manuel
L01461666;Meliana
L01461672;Millares
L01461751;Montitxelvo
L01461803;Novetle
L01461960;Pinet
L01462172;RotglaCorbera
L01462188;Rotova
L01462191;Rugat
L01462212;Salem
L01462248;Segart
L01462251;Sellent
L01462264;Sempere
L01462346;SotdeChera
L01462378;TavernesBlanques
L01462401;Terrateig
L01462439;Torrella
L01462515;Vallada
L01462536;Valles
L01462541;VentadelMoro
L01462606;Vinalesa
